date,count,total
11/12/2015,1,856
11/13/2015,3,859
11/14/2015,1,860
11/15/2015,4,864
11/16/2015,2,866
11/17/2015,6,872
11/18/2015,2,874
11/19/2015,2,876
11/20/2015,3,879
11/21/2015,1,880
11/22/2015,3,883
11/23/2015,2,885
11/24/2015,3,888
11/25/2015,3,891
11/26/2015,1,892
11/27/2015,1,893
11/28/2015,1,894
11/29/2015,5,899
11/30/2015,3,902
12/01/2015,2,904
12/02/2015,6,910
12/03/2015,1,911
12/04/2015,2,913
12/05/2015,5,918
12/06/2015,3,921
12/08/2015,2,923
12/09/2015,2,925
12/10/2015,4,929
12/11/2015,1,930
12/12/2015,7,937
12/13/2015,4,941
12/14/2015,8,949
12/15/2015,1,950
12/16/2015,1,951
12/17/2015,2,953
12/18/2015,3,956
12/19/2015,2,958
12/20/2015,2,960
12/21/2015,7,967
12/22/2015,4,971
12/23/2015,1,972
12/24/2015,4,976
12/25/2015,1,977
12/26/2015,4,981
12/27/2015,3,984
12/28/2015,1,985
12/29/2015,2,987
12/30/2015,2,989
12/31/2015,1,990
01/01/2016,1,1
01/02/2016,3,4
01/03/2016,1,6
01/04/2016,2,8
01/05/2016,6,14
01/06/2016,3,17
01/08/2016,2,19
01/10/2016,2,21
01/11/2016,4,25
01/12/2016,2,27
01/13/2016,2,29
01/14/2016,2,31
01/15/2016,2,33
01/16/2016,6,39
01/17/2016,5,44
01/18/2016,5,49
01/19/2016,3,52
01/20/2016,3,55
01/21/2016,1,56
01/23/2016,1,57
01/25/2016,1,58
01/26/2016,1,59
01/27/2016,8,67
01/28/2016,3,70
01/29/2016,3,73
01/30/2016,4,77
01/31/2016,5,82
02/01/2016,1,83
02/02/2016,1,84
02/03/2016,3,87
02/04/2016,5,92
02/05/2016,4,96
02/06/2016,1,97
02/07/2016,3,100
02/08/2016,3,103
02/09/2016,2,105
02/10/2016,5,110
02/11/2016,3,113
02/12/2016,3,116
02/13/2016,4,120
02/14/2016,3,123
02/15/2016,2,125
02/16/2016,3,128
02/17/2016,1,129
02/18/2016,4,133
02/19/2016,2,135
02/20/2016,4,139
02/21/2016,5,144
02/22/2016,4,148
02/23/2016,4,152
02/24/2016,5,157
02/25/2016,4,161
02/26/2016,2,163
02/27/2016,1,164
02/28/2016,2,166
02/29/2016,1,167
03/01/2016,3,170
03/02/2016,2,172
03/03/2016,1,173
03/04/2016,2,175
03/05/2016,2,177
03/06/2016,3,180
03/07/2016,5,185
03/08/2016,1,186
03/10/2016,5,191
03/11/2016,4,195
03/12/2016,3,198
03/13/2016,7,205
03/14/2016,1,206
03/15/2016,3,209
03/16/2016,3,212
03/17/2016,4,216
03/18/2016,2,218
03/19/2016,4,222
03/20/2016,4,226
03/21/2016,3,229
03/22/2016,2,231
03/23/2016,3,234
03/24/2016,6,240
03/26/2016,4,244
03/27/2016,5,249
03/29/2016,3,252
03/30/2016,3,255
03/31/2016,4,259
04/01/2016,2,261
04/02/2016,1,262
04/03/2016,4,266
04/04/2016,1,267
04/05/2016,2,269
04/06/2016,3,272
04/07/2016,2,274
04/08/2016,3,277
04/09/2016,2,279
04/10/2016,3,282
