year,race,count
2015,A,14
2015,B,254
2015,H,172
2015,N,9
2015,O,15
2015,W,497
2016,A,15
2016,B,229
2016,H,160
2016,N,16
2016,O,11
2016,W,469
2017,A,16
2017,B,223
2017,H,180
2017,N,22
2017,O,6
2017,W,460
2018,A,21
2018,B,227
2018,H,165
2018,N,15
2018,O,4
2018,W,454
2019,A,19
2019,B,249
2019,H,162
2019,N,13
2019,O,9
2019,W,403
2020,A,9
2020,B,107
2020,H,68
2020,N,3
2020,O,3
2020,W,211
