,year,race,age,count,binned
772,2019,B,41,5,41-60 Years
773,2019,B,42,2,41-60 Years
774,2019,B,43,3,41-60 Years
775,2019,B,44,2,41-60 Years
776,2019,B,45,4,41-60 Years
777,2019,B,46,4,41-60 Years
778,2019,B,47,3,41-60 Years
779,2019,B,48,1,41-60 Years
780,2019,B,49,4,41-60 Years
781,2019,B,50,2,41-60 Years
782,2019,B,51,2,41-60 Years
783,2019,B,52,2,41-60 Years
784,2019,B,53,1,41-60 Years
785,2019,B,54,2,41-60 Years
786,2019,B,55,1,41-60 Years
787,2019,B,57,2,41-60 Years
788,2019,B,58,2,41-60 Years
789,2019,B,60,1,41-60 Years
790,2019,B,61,3,Over 60 Years
791,2019,B,62,1,Over 60 Years
792,2019,B,65,1,Over 60 Years
793,2019,B,67,1,Over 60 Years
794,2019,B,68,2,Over 60 Years
795,2019,B,70,1,Over 60 Years
796,2019,B,74,1,Over 60 Years
797,2019,H,14,1,<=20 Years
798,2019,H,16,2,<=20 Years
799,2019,H,17,3,<=20 Years
800,2019,H,18,5,<=20 Years
801,2019,H,19,1,<=20 Years
802,2019,H,20,4,<=20 Years
803,2019,H,21,4,21-40 Years
804,2019,H,22,4,21-40 Years
805,2019,H,24,2,21-40 Years
806,2019,H,25,2,21-40 Years
807,2019,H,26,7,21-40 Years
808,2019,H,27,4,21-40 Years
809,2019,H,28,6,21-40 Years
810,2019,H,29,9,21-40 Years
811,2019,H,30,4,21-40 Years
812,2019,H,31,1,21-40 Years
813,2019,H,32,4,21-40 Years
814,2019,H,33,8,21-40 Years
815,2019,H,34,9,21-40 Years
816,2019,H,35,10,21-40 Years
817,2019,H,36,2,21-40 Years
818,2019,H,37,10,21-40 Years
819,2019,H,38,9,21-40 Years
820,2019,H,39,4,21-40 Years
821,2019,H,40,3,21-40 Years
822,2019,H,41,5,41-60 Years
823,2019,H,42,4,41-60 Years
824,2019,H,43,1,41-60 Years
825,2019,H,45,2,41-60 Years
826,2019,H,46,2,41-60 Years
827,2019,H,47,4,41-60 Years
828,2019,H,48,1,41-60 Years
829,2019,H,49,1,41-60 Years
830,2019,H,50,4,41-60 Years
831,2019,H,51,3,41-60 Years
832,2019,H,52,4,41-60 Years
833,2019,H,53,1,41-60 Years
834,2019,H,55,1,41-60 Years
835,2019,H,57,1,41-60 Years
836,2019,H,59,1,41-60 Years
837,2019,H,61,1,Over 60 Years
838,2019,H,62,1,Over 60 Years
839,2019,H,63,1,Over 60 Years
840,2019,N,18,1,<=20 Years
841,2019,N,25,2,21-40 Years
842,2019,N,27,2,21-40 Years
843,2019,N,32,1,21-40 Years
844,2019,N,34,1,21-40 Years
845,2019,N,35,1,21-40 Years
846,2019,N,39,1,21-40 Years
847,2019,N,40,1,21-40 Years
848,2019,N,42,1,41-60 Years
849,2019,N,58,1,41-60 Years
850,2019,O,23,1,21-40 Years
851,2019,O,27,1,21-40 Years
852,2019,O,30,1,21-40 Years
853,2019,O,34,1,21-40 Years
854,2019,O,36,1,21-40 Years
855,2019,O,40,1,21-40 Years
856,2019,O,45,1,41-60 Years
857,2019,O,51,1,41-60 Years
858,2019,O,59,1,41-60 Years
859,2019,W,17,2,<=20 Years
860,2019,W,18,1,<=20 Years
861,2019,W,19,3,<=20 Years
862,2019,W,20,9,<=20 Years
863,2019,W,21,3,21-40 Years
864,2019,W,22,3,21-40 Years
865,2019,W,23,6,21-40 Years
866,2019,W,24,5,21-40 Years
867,2019,W,25,9,21-40 Years
868,2019,W,26,9,21-40 Years
869,2019,W,27,11,21-40 Years
870,2019,W,28,18,21-40 Years
871,2019,W,29,17,21-40 Years
872,2019,W,30,10,21-40 Years
873,2019,W,31,13,21-40 Years
874,2019,W,32,7,21-40 Years
875,2019,W,33,12,21-40 Years
876,2019,W,34,17,21-40 Years
877,2019,W,35,10,21-40 Years
878,2019,W,36,8,21-40 Years
879,2019,W,37,7,21-40 Years
880,2019,W,38,10,21-40 Years
881,2019,W,39,7,21-40 Years
882,2019,W,40,7,21-40 Years
883,2019,W,41,10,41-60 Years
884,2019,W,42,12,41-60 Years
885,2019,W,43,7,41-60 Years
886,2019,W,44,6,41-60 Years
887,2019,W,45,10,41-60 Years
888,2019,W,46,10,41-60 Years
889,2019,W,47,12,41-60 Years
890,2019,W,48,9,41-60 Years
891,2019,W,49,9,41-60 Years
892,2019,W,50,5,41-60 Years
893,2019,W,51,9,41-60 Years
894,2019,W,52,5,41-60 Years
895,2019,W,53,4,41-60 Years
896,2019,W,54,5,41-60 Years
897,2019,W,55,4,41-60 Years
898,2019,W,56,8,41-60 Years
899,2019,W,57,9,41-60 Years
900,2019,W,58,11,41-60 Years
901,2019,W,59,6,41-60 Years
902,2019,W,60,3,41-60 Years
903,2019,W,61,5,Over 60 Years
904,2019,W,62,4,Over 60 Years
905,2019,W,63,4,Over 60 Years
906,2019,W,64,2,Over 60 Years
907,2019,W,65,3,Over 60 Years
908,2019,W,66,2,Over 60 Years
909,2019,W,67,1,Over 60 Years
910,2019,W,68,2,Over 60 Years
911,2019,W,69,1,Over 60 Years
912,2019,W,70,1,Over 60 Years
913,2019,W,74,1,Over 60 Years
914,2019,W,75,1,Over 60 Years
915,2019,W,76,2,Over 60 Years
916,2019,W,77,1,Over 60 Years
917,2019,W,80,1,Over 60 Years
918,2020,A,16,1,<=20 Years
919,2020,A,25,1,21-40 Years
920,2020,A,26,1,21-40 Years
921,2020,A,32,1,21-40 Years
922,2020,A,33,2,21-40 Years
923,2020,A,50,1,41-60 Years
924,2020,A,60,1,41-60 Years
925,2020,B,15,1,<=20 Years
926,2020,B,17,4,<=20 Years
927,2020,B,18,2,<=20 Years
928,2020,B,19,5,<=20 Years
929,2020,B,20,3,<=20 Years
930,2020,B,21,4,21-40 Years
931,2020,B,22,3,21-40 Years
932,2020,B,23,5,21-40 Years
933,2020,B,24,5,21-40 Years
934,2020,B,25,2,21-40 Years
935,2020,B,26,5,21-40 Years
936,2020,B,27,4,21-40 Years
937,2020,B,28,4,21-40 Years
938,2020,B,29,3,21-40 Years
939,2020,B,30,3,21-40 Years
940,2020,B,31,6,21-40 Years
941,2020,B,32,4,21-40 Years
942,2020,B,33,3,21-40 Years
943,2020,B,34,1,21-40 Years
944,2020,B,35,4,21-40 Years
945,2020,B,37,1,21-40 Years
946,2020,B,38,5,21-40 Years
947,2020,B,39,3,21-40 Years
948,2020,B,40,2,21-40 Years
949,2020,B,41,1,41-60 Years
950,2020,B,43,2,41-60 Years
951,2020,B,44,1,41-60 Years
952,2020,B,45,2,41-60 Years
953,2020,B,46,1,41-60 Years
954,2020,B,47,5,41-60 Years
955,2020,B,48,1,41-60 Years
956,2020,B,49,2,41-60 Years
957,2020,B,52,1,41-60 Years
958,2020,B,53,2,41-60 Years
959,2020,B,55,1,41-60 Years
960,2020,B,56,1,41-60 Years
961,2020,B,60,1,41-60 Years
962,2020,B,61,1,Over 60 Years
963,2020,B,62,1,Over 60 Years
964,2020,B,66,1,Over 60 Years
965,2020,H,17,1,<=20 Years
966,2020,H,18,2,<=20 Years
967,2020,H,19,1,<=20 Years
968,2020,H,20,1,<=20 Years
969,2020,H,21,3,21-40 Years
970,2020,H,22,5,21-40 Years
971,2020,H,24,2,21-40 Years
972,2020,H,25,5,21-40 Years
973,2020,H,26,1,21-40 Years
974,2020,H,27,2,21-40 Years
975,2020,H,28,2,21-40 Years
976,2020,H,29,2,21-40 Years
977,2020,H,30,6,21-40 Years
978,2020,H,31,8,21-40 Years
979,2020,H,33,1,21-40 Years
980,2020,H,36,2,21-40 Years
981,2020,H,37,3,21-40 Years
982,2020,H,38,4,21-40 Years
983,2020,H,39,2,21-40 Years
984,2020,H,40,2,21-40 Years
985,2020,H,41,1,41-60 Years
986,2020,H,42,2,41-60 Years
987,2020,H,43,1,41-60 Years
988,2020,H,44,1,41-60 Years
989,2020,H,45,1,41-60 Years
990,2020,H,46,1,41-60 Years
991,2020,H,47,1,41-60 Years
992,2020,H,50,1,41-60 Years
993,2020,H,51,1,41-60 Years
994,2020,H,52,1,41-60 Years
995,2020,H,58,1,41-60 Years
996,2020,N,25,1,21-40 Years
997,2020,N,27,1,21-40 Years
998,2020,N,51,1,41-60 Years
999,2020,O,20,1,<=20 Years
1000,2020,O,22,1,21-40 Years
1001,2020,O,31,1,21-40 Years
1002,2020,W,16,1,<=20 Years
1003,2020,W,18,1,<=20 Years
1004,2020,W,19,3,<=20 Years
1005,2020,W,20,2,<=20 Years
1006,2020,W,21,2,21-40 Years
1007,2020,W,22,2,21-40 Years
1008,2020,W,23,1,21-40 Years
1009,2020,W,24,6,21-40 Years
1010,2020,W,25,2,21-40 Years
1011,2020,W,26,4,21-40 Years
1012,2020,W,27,5,21-40 Years
1013,2020,W,28,5,21-40 Years
1014,2020,W,29,6,21-40 Years
1015,2020,W,30,7,21-40 Years
1016,2020,W,31,10,21-40 Years
1017,2020,W,32,12,21-40 Years
1018,2020,W,33,7,21-40 Years
1019,2020,W,34,8,21-40 Years
1020,2020,W,35,5,21-40 Years
1021,2020,W,36,5,21-40 Years
1022,2020,W,37,6,21-40 Years
1023,2020,W,38,8,21-40 Years
1024,2020,W,39,8,21-40 Years
1025,2020,W,40,7,21-40 Years
1026,2020,W,41,5,41-60 Years
1027,2020,W,42,5,41-60 Years
1028,2020,W,43,6,41-60 Years
1029,2020,W,44,4,41-60 Years
1030,2020,W,45,5,41-60 Years
1031,2020,W,46,2,41-60 Years
1032,2020,W,47,6,41-60 Years
1033,2020,W,48,3,41-60 Years
1034,2020,W,49,2,41-60 Years
1035,2020,W,50,5,41-60 Years
1036,2020,W,51,3,41-60 Years
1037,2020,W,52,1,41-60 Years
1038,2020,W,53,2,41-60 Years
1039,2020,W,54,2,41-60 Years
1040,2020,W,55,1,41-60 Years
1041,2020,W,56,2,41-60 Years
1042,2020,W,57,6,41-60 Years
1043,2020,W,58,3,41-60 Years
1044,2020,W,59,3,41-60 Years
1045,2020,W,61,1,Over 60 Years
1046,2020,W,62,3,Over 60 Years
1047,2020,W,63,1,Over 60 Years
1048,2020,W,64,1,Over 60 Years
1049,2020,W,66,1,Over 60 Years
1050,2020,W,67,2,Over 60 Years
1051,2020,W,69,3,Over 60 Years
1052,2020,W,73,1,Over 60 Years
1053,2020,W,75,1,Over 60 Years
1054,2020,W,84,1,Over 60 Years
