date,count,total
9/29/2015,2,743
9/30/2015,1,744
10/2/2015,4,748
10/4/2015,3,751
10/5/2015,4,755
10/6/2015,1,756
10/7/2015,1,757
10/9/2015,2,759
10/10/2015,5,764
10/11/2015,4,768
10/12/2015,2,770
10/14/2015,5,775
10/15/2015,7,782
10/16/2015,4,786
10/17/2015,2,788
10/18/2015,2,790
10/19/2015,1,791
10/20/2015,5,796
10/21/2015,3,799
10/22/2015,3,802
10/24/2015,7,809
10/25/2015,1,810
10/26/2015,2,812
10/27/2015,1,813
10/28/2015,4,817
10/29/2015,2,819
10/30/2015,6,825
10/31/2015,2,827
11/1/2015,3,830
11/3/2015,1,831
11/4/2015,4,835
11/5/2015,4,839
11/6/2015,3,842
11/9/2015,5,847
11/10/2015,4,851
11/11/2015,4,855
11/12/2015,1,856
11/13/2015,3,859
11/14/2015,1,860
11/15/2015,4,864
11/16/2015,2,866
11/17/2015,6,872
11/18/2015,2,874
11/19/2015,2,876
11/20/2015,3,879
11/21/2015,1,880
11/22/2015,3,883
11/23/2015,2,885
11/24/2015,3,888
11/25/2015,3,891
11/26/2015,1,892
11/27/2015,1,893
11/28/2015,1,894
11/29/2015,5,899
11/30/2015,3,902
12/1/2015,2,904
12/2/2015,6,910
12/3/2015,1,911
12/4/2015,2,913
12/5/2015,5,918
12/6/2015,3,921
12/8/2015,2,923
12/9/2015,2,925
12/10/2015,4,929
12/11/2015,1,930
12/12/2015,7,937
12/13/2015,4,941
12/14/2015,8,949
12/15/2015,1,950
12/16/2015,1,951
12/17/2015,2,953
12/18/2015,3,956
12/19/2015,2,958
12/20/2015,2,960
12/21/2015,7,967
12/22/2015,4,971
12/23/2015,1,972
12/24/2015,4,976
12/25/2015,1,977
12/26/2015,4,981
12/27/2015,3,984
12/28/2015,1,985
12/29/2015,2,987
12/30/2015,2,989
12/31/2015,1,990
1/1/2016,1,991
1/2/2016,3,994
1/3/2016,1,995
1/4/2016,2,997
1/5/2016,6,1003
1/6/2016,3,1006
1/8/2016,2,1008
1/10/2016,2,1010
1/11/2016,4,1014
1/12/2016,2,1016
1/13/2016,2,1018
1/14/2016,2,1020
1/15/2016,2,1022
1/16/2016,6,1028
1/17/2016,5,1033
1/18/2016,5,1038
1/19/2016,3,1041
1/20/2016,3,1044
1/21/2016,1,1045
1/23/2016,1,1046
1/25/2016,1,1047
1/26/2016,1,1048
1/27/2016,8,1056
1/28/2016,3,1059
1/29/2016,3,1062
1/30/2016,4,1066
1/31/2016,5,1071
2/1/2016,1,1072
2/2/2016,1,1073
2/3/2016,3,1076
2/4/2016,5,1081
2/5/2016,4,1085
2/6/2016,1,1086
2/7/2016,3,1089
2/8/2016,3,1092
2/9/2016,2,1094
2/10/2016,5,1099
2/11/2016,3,1102
2/12/2016,3,1105
2/13/2016,4,1109
2/14/2016,3,1112
2/15/2016,2,1114
2/16/2016,3,1117
2/17/2016,1,1118
2/18/2016,4,1122
2/19/2016,2,1124
2/20/2016,4,1128
2/21/2016,5,1133
2/22/2016,4,1137
2/23/2016,4,1141
2/24/2016,5,1146
2/25/2016,4,1150
2/26/2016,2,1152
2/27/2016,1,1153
2/28/2016,2,1155
2/29/2016,1,1156
3/1/2016,3,1159
3/2/2016,2,1161
3/3/2016,1,1162
3/4/2016,2,1164
3/5/2016,2,1166
3/6/2016,3,1169
3/7/2016,5,1174
3/8/2016,1,1175
3/10/2016,5,1180
3/11/2016,4,1184
3/12/2016,3,1187
3/13/2016,7,1194
3/14/2016,1,1195
3/15/2016,3,1198
3/16/2016,3,1201
3/17/2016,4,1205
3/18/2016,2,1207
3/19/2016,4,1211
3/20/2016,4,1215
3/21/2016,3,1218
